Source,Target
Eleventh Doctor,Mummy (The Rings of Akhaten)
Eleventh Doctor,Nefertiti
Eleventh Doctor,Ood (Death is the Only Answer)
Eleventh Doctor,Ood (Pond Life)
Eleventh Doctor,Ood Sigma
Eleventh Doctor,Paternoster Gang
Eleventh Doctor,Peg doll (Night Terrors)
Eleventh Doctor,Petronella Osgood
Eleventh Doctor,Prisoner Zero
Eleventh Doctor,Rain God
Eleventh Doctor,Rassilon
Eleventh Doctor,Restac
Eleventh Doctor,Richard Nixon
Eleventh Doctor,River Song
Eleventh Doctor,Rory Williams
Eleventh Doctor,Rory Williams (Auton)
Eleventh Doctor,Rose Tyler
Eleventh Doctor,Rosemary Kizlet
Eleventh Doctor,Sarah Jane Smith
Eleventh Doctor,Saturnyn
Eleventh Doctor,Shakri
Eleventh Doctor,Silent
Eleventh Doctor,Skaldak
Eleventh Doctor,Solomon (Dinosaurs on a Spaceship)
Eleventh Doctor,Sontarans
Eleventh Doctor,Sophie (The Lodger)
Eleventh Doctor,Strax
Eleventh Doctor,Supreme Dalek (Victory of the Daleks)
Eleventh Doctor,Sylvia Noble
Eleventh Doctor,Tasha Lem
Eleventh Doctor,Tenth Doctor
Eleventh Doctor,Teselecta
Eleventh Doctor,The Alliance (The Pandorica Opens)
Eleventh Doctor,The Curator
Eleventh Doctor,The Doctor's TARDIS
Eleventh Doctor,The Master
Eleventh Doctor,The Moment
Eleventh Doctor,Time Field
Eleventh Doctor,Time zombie
Eleventh Doctor,Twelfth Doctor
Eleventh Doctor,Vastra
Eleventh Doctor,Vigil
Eleventh Doctor,Vincent van Gogh
Eleventh Doctor,War Doctor
Eleventh Doctor,Weeping Angel
Eleventh Doctor,Weeping Angel (Good as Gold)
Eleventh Doctor,Wilfred Mott
Eleventh Doctor,Winifred Gillyflower
Eleventh Doctor,Winston Churchill
Eleventh Doctor,Zygon Kate Stewart
Eleventh Doctor (Ganger),Amy Pond
Eleventh Doctor (Ganger),Eleventh Doctor
Eleventh Doctor (Ganger),Ganger
Eleventh Doctor (Ganger),Jennifer Lucas (Ganger)
Eleventh Doctor (Ganger),Miranda Cleaves
Eleventh Doctor (Ganger),Rory Williams
Elizabeth I,Carrionite
Elizabeth I,Clara Oswald
Elizabeth I,Dalek Fleet
Elizabeth I,Eleventh Doctor
Elizabeth I,Kate Stewart
Elizabeth I,Martha Jones
Elizabeth I,Petronella Osgood
Elizabeth I,Tenth Doctor
Elizabeth I,The Curator
Elizabeth I,The Moment
Elizabeth I,War Doctor
Elizabeth I,William Shakespeare
Elizabeth I,Zygon Kate Stewart
Elizabeth X,Amy Pond
Elizabeth X,Dorium Maldovar
Elizabeth X,Eleventh Doctor
Elizabeth X,River Song
Elizabeth X,Rory Williams
Elizabeth X,The Alliance (The Pandorica Opens)
Elizabeth X,Vincent van Gogh
Elizabeth X,Winston Churchill
Ellie Oswald,Clara Oswald
Ellie Oswald,Eleventh Doctor
Elliot Sardick,Abigail Pettigrew
Elliot Sardick,Amy Pond
Elliot Sardick,Eleventh Doctor
Elliot Sardick,Kazran Sardick
Elliot Sardick,Rory Williams
Emojibot,Bill Potts
Emojibot,Nardole
Emojibot,Twelfth Doctor
Emojibot,Vardy
Empress of the Racnoss (The Runaway Bride),Donna Noble
Empress of the Racnoss (The Runaway Bride),Sylvia Noble
Empress of the Racnoss (The Runaway Bride),Tenth Doctor
Empty Child,Jack Harkness
Empty Child,Ninth Doctor
Empty Child,Rose Tyler
Engin,Fourth Doctor
Engin,Goth
Engin,Spandrell
Engin,The Master
Eric Klieg,Cyber-Controller (The Tomb of the Cybermen)
Eric Klieg,Cyberman
Eric Klieg,Jamie McCrimmon
Eric Klieg,Kaftan
Eric Klieg,Peter Haydon
Eric Klieg,Second Doctor
Eric Klieg,Victoria Waterfield
Eric Stahlman,Alastair Lethbridge-Stewart
Eric Stahlman,Greg Sutton
Eric Stahlman,John Benton
Eric Stahlman,Keith Gold
Eric Stahlman,Liz Shaw
Eric Stahlman,Petra Williams
Eric Stahlman,The Brigadier
Eric Stahlman,Third Doctor
Erisa Magambo,Christina de Souza
Erisa Magambo,Stingray
Erisa Magambo,Tenth Doctor
Erisa Magambo,Time Beetle
Ettis,Aggedor (The Curse of Peladon)
Ettis,Alpha Centauri (The Curse of Peladon)
Ettis,Azaxyr
Ettis,Eckersley
Ettis,Ice Lord
Ettis,Ice Warrior
Ettis,Sarah Jane Smith
Ettis,Third Doctor
Evelyn Smythe,Cyber-Controller
Evelyn Smythe,Sixth Doctor
Face of Boe,Casp
Face of Boe,Cassandra O'Brien.Δ17
Face of Boe,Hame
Face of Boe,Jackie Tyler
Face of Boe,Macra
Face of Boe,Martha Jones
Face of Boe,Matron
Face of Boe,Mickey Smith
Face of Boe,Ninth Doctor
Face of Boe,Rose Tyler
Face of Boe,Tenth Doctor
Family of Blood,Tenth Doctor
Family of Blood,Tim Latimer
Federico,Fourth Doctor
Federico,Hieronymous (The Masque of Mandragora)
Federico,Mandragora Helix
Federico,Sarah Jane Smith
Fendahl,Fourth Doctor
Fendahl,K9 Mark I
Fendahl,Leela
Fendahl,Maximillian Stael
Fenric,A. H. Millington
Fenric,Ace
Fenric,Haemovore
Fenric,Ingiger
Fenric,Seventh Doctor
Field Major,Fourth Doctor
Field Major,Harry Sullivan
Field Major,Sarah Jane Smith
Field Major,Styre
Fifth Doctor,Ace
Fifth Doctor,Adric
Fifth Doctor,Alistair Gordon Lethbridge-Stewart
Fifth Doctor,Ann Talbot
Fifth Doctor,Black Dalek Leader
Fifth Doctor,Black Guardian
Fifth Doctor,Borusa
Fifth Doctor,Chela
Fifth Doctor,Cyber-Leader (Earthshock)
Fifth Doctor,Dalek
Fifth Doctor,Davros
Fifth Doctor,Dukkha
Fifth Doctor,Eirak
Fifth Doctor,First Doctor
Fifth Doctor,Fourth Doctor
Fifth Doctor,George Hutchinson
Fifth Doctor,Gravis
Fifth Doctor,Gustave Lytton
Fifth Doctor,Hindle
Fifth Doctor,Icthar
Fifth Doctor,Jane Hampden
Fifth Doctor,K9 (Storm in a Tikka) (page does not exist)
Fifth Doctor,K9 Mark III
Fifth Doctor,Kamelion
Fifth Doctor,Leela
Fifth Doctor,Liz Shaw
Fifth Doctor,Lord President
Fifth Doctor,Madge Cranleigh
Fifth Doctor,Malus
Fifth Doctor,Mara
Fifth Doctor,Mawdryn
Fifth Doctor,Melanie Bush
Fifth Doctor,Mike Yates
Fifth Doctor,Morgus
Fifth Doctor,Nyssa
Fifth Doctor,Omega
Fifth Doctor,Peri Brown
Fifth Doctor,Rassilon
Fifth Doctor,Richard Mace
Fifth Doctor,Romana II
Fifth Doctor,Sarah Jane Smith
Fifth Doctor,Second Doctor
Fifth Doctor,Seventh Doctor
Fifth Doctor,Sharaz Jek
Fifth Doctor,Sixth Doctor
Fifth Doctor,Stotz
Fifth Doctor,Susan Foreman
Fifth Doctor,Tegan Jovanka
Fifth Doctor,Tenth Doctor
Fifth Doctor,Terileptil
Fifth Doctor,Terileptil android
Fifth Doctor,The Brigadier
Fifth Doctor,The Master
Fifth Doctor,The Rani
Fifth Doctor,The Watcher (Logopolis)
Fifth Doctor,Third Doctor
Fifth Doctor,Tractator
Fifth Doctor,Urbankan
Fifth Doctor,Victoria Waterfield
Fifth Doctor,Vislor Turlough
Fifth Doctor,White Guardian
Fifth Doctor,Will Chandler
Fifth Doctor,Wrack
Finch (Invasion of the Dinosaurs),Butler (Invasion of the Dinosaurs)
Finch (Invasion of the Dinosaurs),Charles Grover
Finch (Invasion of the Dinosaurs),John Benton
Finch (Invasion of the Dinosaurs),Mike Yates
Finch (Invasion of the Dinosaurs),Sarah Jane Smith
Finch (Invasion of the Dinosaurs),The Brigadier
Finch (Invasion of the Dinosaurs),Third Doctor
Finch (Invasion of the Dinosaurs),Whitaker (Invasion of the Dinosaurs)
First Doctor,Alistair Gordon Lethbridge-Stewart
First Doctor,Animus
First Doctor,Archibald Hamish Lethbridge-Stewart
First Doctor,Barbara Wright
First Doctor,Ben Jackson
First Doctor,Bennett (The Rescue)
First Doctor,Bill Potts
First Doctor,Billy Clanton
First Doctor,Black Dalek Leader
First Doctor,Borusa
First Doctor,Bret Vyon
First Doctor,Cassandra (The Myth Makers)
First Doctor,Catherine de Medici
First Doctor,Celestial Toymaker
First Doctor,Chancellor (The Three Doctors)
First Doctor,Cherub (The Smugglers)
First Doctor,City Administrator (The Sensorites)
First Doctor,Clara Oswald
First Doctor,Commander (The Sensorites)
First Doctor,Cutler (The Tenth Planet)
First Doctor,CyberMondan
First Doctor,Cybermen
First Doctor,Dalek
First Doctor,Danny Pink
First Doctor,Dodo Chaplet
First Doctor,Edal
First Doctor,Edwards (The Smugglers)
First Doctor,El Akir
First Doctor,Fifth Doctor
First Doctor,Forester (Planet of Giants)
First Doctor,Fourth Doctor
First Doctor,Gaspard de Saux-Tavannes
First Doctor,Heather (The Pilot)
First Doctor,Ian Chesterton
First Doctor,Ike Clanton
First Doctor,Jo Grant
First Doctor,John Benton
First Doctor,Johnny Ringo
First Doctor,K9 Mark III
First Doctor,Kal
First Doctor,Katarina
First Doctor,Lord President
First Doctor,Léon Colbert
First Doctor,Maaga
First Doctor,Marco Polo
First Doctor,Mavic Chen
First Doctor,Maximilien Robespierre
First Doctor,Mechonoid
First Doctor,Monoid
First Doctor,Morok
First Doctor,Napoléon Bonaparte
First Doctor,Nardole
First Doctor,Nero
First Doctor,Odysseus
First Doctor,Omega
First Doctor,Pa Clanton
First Doctor,Palmer (The Three Doctors)
First Doctor,Phineas Clanton
First Doctor,Polly Wright
First Doctor,President (The Three Doctors)
First Doctor,Rassilon
First Doctor,Rill
First Doctor,Romana II
First Doctor,Rusty (Into the Dalek)
First Doctor,Samuel Pike
First Doctor,Sara Kingdom
First Doctor,Sarah Jane Smith
First Doctor,Second Doctor
First Doctor,Seth Harper
First Doctor,Steven Taylor
First Doctor,Supreme Controller (The Dalek Invasion of Earth)
First Doctor,Susan Foreman
First Doctor,Tegan Jovanka
First Doctor,Tegana
First Doctor,Template:Disputed
First Doctor,The Brigadier
First Doctor,The Master
First Doctor,The Monk
First Doctor,Third Doctor
First Doctor,Thirteenth Doctor
First Doctor,Time Lord (The Three Doctors)
First Doctor,Tlotoxl
First Doctor,Twelfth Doctor
First Doctor,Vicki Pallister
First Doctor,Vislor Turlough
First Doctor,WOTAN
First Doctor,Yartek
Fisher King,Clara Oswald
Fisher King,Ghost
Fisher King,Twelfth Doctor
Florence Finnegan,Clive Jones
Florence Finnegan,Francine Jones
Florence Finnegan,Leo Jones
Florence Finnegan,Martha Jones
Florence Finnegan,Tenth Doctor
Florence Finnegan,Tish Jones
Forester (Planet of Giants),Barbara Wright
Forester (Planet of Giants),First Doctor
Forester (Planet of Giants),Ian Chesterton
Forester (Planet of Giants),Susan Foreman
Fourth Doctor,Ace
Fourth Doctor,Adrasta
Fourth Doctor,Adric
Fourth Doctor,Alistair Gordon Lethbridge-Stewart
Fourth Doctor,Ander Poul
Fourth Doctor,Anti-matter creature
Fourth Doctor,Astra of Atrios
Fourth Doctor,Black Guardian
Fourth Doctor,Borusa
Fourth Doctor,Broton
Fourth Doctor,Cessair of Diplos
Fourth Doctor,Commander
Fourth Doctor,Cyber-Leader (Revenge of the Cybermen)
Fourth Doctor,Cyberman
Fourth Doctor,Dalek
Fourth Doctor,Davros
Fourth Doctor,Drax
Fourth Doctor,Duggan
Fourth Doctor,Dymond
Fourth Doctor,Eight Legs
Fourth Doctor,Eldrad
Fourth Doctor,Engin
Fourth Doctor,Federico
Fourth Doctor,Fendahl
Fourth Doctor,Field Major
Fourth Doctor,Fifth Doctor
Fourth Doctor,First Doctor
Fourth Doctor,Gaztak
Fourth Doctor,George Litefoot
Fourth Doctor,Goth
Fourth Doctor,Graff Vynda-K
Fourth Doctor,Grendel of Gracht
Fourth Doctor,Grugger
Fourth Doctor,Hade
Fourth Doctor,Harrison Chase
Fourth Doctor,Harry Sullivan
Fourth Doctor,Henry Gordon Jago
Fourth Doctor,Hieronymous (The Masque of Mandragora)
Fourth Doctor,John Benton
Fourth Doctor,K'anpo Rimpoche
Fourth Doctor,K9 (Storm in a Tikka) (page does not exist)
Fourth Doctor,K9 Mark I
Fourth Doctor,K9 Mark II
Fourth Doctor,K9 Mark III
Fourth Doctor,Kaldor android
Fourth Doctor,Kellman
Fourth Doctor,King Vampire
Fourth Doctor,Kiy Uvanov
Fourth Doctor,Kraal (species)
Fourth Doctor,Kroll
Fourth Doctor,Krynoid
Fourth Doctor,Leela
Fourth Doctor,Li H'sen Chang
Fourth Doctor,Lish Toos
Fourth Doctor,Liz Shaw
Fourth Doctor,Lord President
Fourth Doctor,Lupton
Fourth Doctor,Magnus Greel
Fourth Doctor,Mandragora Helix
Fourth Doctor,Mandrel
Fourth Doctor,Marshal of Atrios
Fourth Doctor,Marshman
Fourth Doctor,Maximillian Stael
Fourth Doctor,Meglos
Fourth Doctor,Mehendri Solon
Fourth Doctor,Melanie Bush
Fourth Doctor,Mike Yates
Fourth Doctor,Morbius
Fourth Doctor,Movellan
Fourth Doctor,Mr Sin
Fourth Doctor,Nimon
Fourth Doctor,Nyssa
Fourth Doctor,Ogri
Fourth Doctor,Oracle (Underworld)
Fourth Doctor,Pangol
Fourth Doctor,Peri Brown
Fourth Doctor,Ranquin
Fourth Doctor,Rassilon
Fourth Doctor,Romana I
Fourth Doctor,Romana II
Fourth Doctor,Rorvik
Fourth Doctor,Rutan Host
Fourth Doctor,Salamar
Fourth Doctor,Sarah Jane Smith
Fourth Doctor,Scaroth
Fourth Doctor,Scientific Reform Society
Fourth Doctor,Second Doctor
Fourth Doctor,Seer
Fourth Doctor,Seventh Doctor
Fourth Doctor,Sixth Doctor
Fourth Doctor,Soldeed
Fourth Doctor,Spandrell
Fourth Doctor,Stor
Fourth Doctor,Styre
Fourth Doctor,Susan Foreman
Fourth Doctor,Sutekh
Fourth Doctor,Taren Capel
Fourth Doctor,Tegan Jovanka
Fourth Doctor,Thawn
Fourth Doctor,The Brigadier
Fourth Doctor,The Captain
Fourth Doctor,The Collector
Fourth Doctor,The Great One (Planet of the Spiders)
Fourth Doctor,The Master
Fourth Doctor,The Nucleus
Fourth Doctor,The Rani
Fourth Doctor,The Shadow
Fourth Doctor,The Swarm (The Invisible Enemy)
Fourth Doctor,The Watcher (Logopolis)
Fourth Doctor,Third Doctor
Fourth Doctor,Three Who Rule
Fourth Doctor,Time Lord messenger (Genesis of the Daleks)
Fourth Doctor,Tryst
Fourth Doctor,Vardan
Fourth Doctor,Victoria Waterfield
Fourth Doctor,Vislor Turlough
Fourth Doctor,Vorus
Fourth Doctor,West Lodge
Fourth Doctor,White Guardian
Fourth Doctor,Wirrn
Fourth Doctor,Xanxia
Fourth Doctor,Xoanon
Francine Jones,Clive Jones
Francine Jones,Dalek Caan
Francine Jones,Davros
Francine Jones,Donna Noble
Francine Jones,Florence Finnegan
Francine Jones,Gwen Cooper
Francine Jones,Harriet Jones
Francine Jones,Ianto Jones
Francine Jones,Jack Harkness
Francine Jones,Jackie Tyler
Francine Jones,K9 Mark IV
Francine Jones,Leo Jones
Francine Jones,Luke Smith
Francine Jones,Martha Jones
Francine Jones,Mickey Smith
Francine Jones,Mr Smith
Francine Jones,Richard Lazarus
Francine Jones,Rose Tyler
Francine Jones,Sarah Jane Smith
Francine Jones,Supreme Dalek (The Stolen Earth)
Francine Jones,Sylvia Noble
Francine Jones,Tenth Doctor
Francine Jones,Tenth Doctor (Journey's End)
Francine Jones,The Master
Francine Jones,Tish Jones
Francine Jones,Torajii
Francine Jones,Wilfred Mott
Frank Armitage,Clara Oswald
Frank Armitage,Courtney Woods
Frank Armitage,Cybermen
Frank Armitage,Dalek
Frank Armitage,Danny Pink
Frank Armitage,Journey Blue
Frank Armitage,Rusty (Into the Dalek)
Frank Armitage,Seb (The Caretaker)
Frank Armitage,Skovox Blitzer
Frank Armitage,The Master
Frank Armitage,Twelfth Doctor
Futurekind,Jack Harkness
Futurekind,Martha Jones
Futurekind,Tenth Doctor
Futurekind,The Master
Gagan Rassmussen,Clara Oswald
Gagan Rassmussen,Sandman (Sleep No More)
Gagan Rassmussen,Twelfth Doctor
Ganger,Amy Pond
Ganger,Eleventh Doctor
Ganger,Eleventh Doctor (Ganger)
Ganger,Miranda Cleaves
Ganger,Rory Williams
Ganymede Systems,Bill Potts
Ganymede Systems,Nardole
Ganymede Systems,Twelfth Doctor
Gareth Jenkins (A Fix with Sontarans),Nathan (A Fix with Sontarans)
Gareth Jenkins (A Fix with Sontarans),Sixth Doctor
Gareth Jenkins (A Fix with Sontarans),Tegan Jovanka
Gareth Jenkins (A Fix with Sontarans),Turner (A Fix with Sontarans)
Gaspard de Saux-Tavannes,Catherine de Medici
Gaspard de Saux-Tavannes,Dodo Chaplet
Gaspard de Saux-Tavannes,First Doctor
Gaspard de Saux-Tavannes,Steven Taylor
Gat,Graham O'Brien
Gat,Jack Harkness
Gat,Pol-Kon-Don
Gat,Ryan Sinclair
Gat,The Doctor (Fugitive of the Judoon)
Gat,Thirteenth Doctor
Gat,Yasmin Khan
Gavrok,Bannermen
Gavrok,Keillor
Gavrok,Melanie Bush
Gavrok,Seventh Doctor
Gaztak,Fourth Doctor
Gaztak,Grugger
Gaztak,K9 Mark II
Gaztak,Meglos
Gaztak,Romana II
Gelth ambassador,Charles Dickens
Gelth ambassador,Ninth Doctor
Gelth ambassador,Rose Tyler
George Gordon Byron,Ashad
George Gordon Byron,Graham O'Brien
George Gordon Byron,John Polidori
George Gordon Byron,Mary Shelley
George Gordon Byron,Percy Shelley
George Gordon Byron,Ryan Sinclair
George Gordon Byron,Thirteenth Doctor
George Gordon Byron,Yasmin Khan
George Hutchinson,Fifth Doctor
George Hutchinson,Jane Hampden
George Hutchinson,Malus
George Hutchinson,Tegan Jovanka
George Hutchinson,Vislor Turlough
George Hutchinson,Will Chandler
George Litefoot,Fourth Doctor
George Litefoot,Henry Gordon Jago
George Litefoot,Leela
George Litefoot,Li H'sen Chang
George Litefoot,Magnus Greel
George Litefoot,Mr Sin
George Patrick Barnham,Arthur Linwood
George Patrick Barnham,Carol Bell
George Patrick Barnham,Charles Kettering
George Patrick Barnham,Harry Mailer
George Patrick Barnham,Jo Grant
George Patrick Barnham,John Benton
George Patrick Barnham,Keller Machine
George Patrick Barnham,Mike Yates
George Patrick Barnham,Roland Summers
George Patrick Barnham,The Brigadier
George Patrick Barnham,The Master
George Patrick Barnham,Third Doctor
Ghost,Clara Oswald
Ghost,Fisher King
Ghost,Twelfth Doctor
Giant maggot,BOSS
Giant maggot,Clifford Jones
Giant maggot,Jo Grant
Giant maggot,John Benton
Giant maggot,Mark Elgin
Giant maggot,Mike Yates
Giant maggot,Stevens
Giant maggot,The Brigadier
Giant maggot,Third Doctor
Giant spider (Arachnids in the UK),Grace O'Brien
Giant spider (Arachnids in the UK),Graham O'Brien
Giant spider (Arachnids in the UK),Hakim Khan
Giant spider (Arachnids in the UK),Jack Robertson
Giant spider (Arachnids in the UK),Najia Khan
Giant spider (Arachnids in the UK),Ryan Sinclair
Giant spider (Arachnids in the UK),Sonya Khan
Giant spider (Arachnids in the UK),Thirteenth Doctor
Giant spider (Arachnids in the UK),Yasmin Khan
Gods of Ragnarok,Ace
Gods of Ragnarok,Chief clown
Gods of Ragnarok,Mags (The Greatest Show in the Galaxy)
Gods of Ragnarok,Seventh Doctor
Gold Dalek (Day of the Daleks),Jo Grant
Gold Dalek (Day of the Daleks),John Benton
Gold Dalek (Day of the Daleks),Mike Yates
Gold Dalek (Day of the Daleks),The Brigadier
Gold Dalek (Day of the Daleks),Third Doctor
Goth,Engin
Goth,Fourth Doctor
Goth,Spandrell
Goth,The Master
Grace Holloway,Chang Lee
Grace Holloway,Eighth Doctor
Grace Holloway,Seventh Doctor
Grace Holloway,The Master
Grace O'Brien,Giant spider (Arachnids in the UK)
Grace O'Brien,Graham O'Brien
Grace O'Brien,Hakim Khan
Grace O'Brien,Jack Robertson
Grace O'Brien,Najia Khan
Grace O'Brien,Ribbons
Grace O'Brien,Ryan Sinclair
Grace O'Brien,Solitract
Grace O'Brien,Sonya Khan
Grace O'Brien,Thirteenth Doctor
Grace O'Brien,Tzim-Sha
Grace O'Brien,Yasmin Khan
Graff Vynda-K,Fourth Doctor
Graff Vynda-K,K9 Mark II
Graff Vynda-K,Romana I
Graff Vynda-K,White Guardian
Graham O'Brien,Ada Lovelace
Graham O'Brien,Ashad
Graham O'Brien,Chagaska
Graham O'Brien,Charlie Duffy
Graham O'Brien,Daniel Barton
Graham O'Brien,Dorothy Skerrit
Graham O'Brien,Dreg
Graham O'Brien,Gat
Graham O'Brien,George Gordon Byron
Graham O'Brien,Giant spider (Arachnids in the UK)
Graham O'Brien,Grace O'Brien
Graham O'Brien,Hakim Khan
Graham O'Brien,Jack Harkness
Graham O'Brien,Jack Robertson
Graham O'Brien,James I
Graham O'Brien,John Polidori
Graham O'Brien,Kasaavin
Graham O'Brien,Krasko
Graham O'Brien,Manish
Graham O'Brien,Mary Shelley
Graham O'Brien,Morax Queen
Graham O'Brien,Najia Khan
Graham O'Brien,Nikola Tesla
Graham O'Brien,Noor Inayat Khan
Graham O'Brien,Percy Shelley
Graham O'Brien,Pol-Kon-Don
Graham O'Brien,Praxeus
Graham O'Brien,Pting (The Tsuranga Conundrum)
Graham O'Brien,Queen of the Skithra
Graham O'Brien,Rakaya
Graham O'Brien,Reconnaissance Dalek
Graham O'Brien,Remnant
Graham O'Brien,Ribbons
Graham O'Brien,Rosa Parks
Graham O'Brien,Ryan Sinclair
Graham O'Brien,Solitract
Graham O'Brien,Sonya Khan
Graham O'Brien,Suki Cheng
Graham O'Brien,The Doctor (Fugitive of the Judoon)
Graham O'Brien,The Master
Graham O'Brien,Thirteenth Doctor
Graham O'Brien,Thomas Edison
Graham O'Brien,Tibo
Graham O'Brien,Tzim-Sha
Graham O'Brien,Yasmin Khan
Graham O'Brien,Zellin
Grand Marshall,Clara Oswald
Grand Marshall,Eleventh Doctor
Grand Marshall,Skaldak
Grant (The Return of Doctor Mysterio),Lucy Fletcher
Grant (The Return of Doctor Mysterio),Nardole
Grant (The Return of Doctor Mysterio),Shoal of the Winter Harmony
Grant (The Return of Doctor Mysterio),Twelfth Doctor
Graske (Music of the Spheres),Tenth Doctor
Gravis,Fifth Doctor
Gravis,Tegan Jovanka
Gravis,Tractator
Gravis,Vislor Turlough
Great Intelligence,Alistair Gordon Lethbridge-Stewart
Great Intelligence,Angie Maitland
Great Intelligence,Artie Maitland
Great Intelligence,Clara Oswald
Great Intelligence,Edward Travers
Great Intelligence,Eleventh Doctor
Great Intelligence,Jamie McCrimmon
Great Intelligence,Padmasambhava
Great Intelligence,Paternoster Gang
Great Intelligence,River Song
Great Intelligence,Rosemary Kizlet
Great Intelligence,Second Doctor
Great Intelligence,Thonmi
Great Intelligence,Victoria Waterfield
Great Intelligence,War Doctor
Greg Sutton,Alastair Lethbridge-Stewart
Greg Sutton,Eric Stahlman
Greg Sutton,John Benton
Greg Sutton,Keith Gold
Greg Sutton,Liz Shaw
Greg Sutton,Petra Williams
Greg Sutton,The Brigadier
Greg Sutton,Third Doctor
Grendel of Gracht,Fourth Doctor
Grendel of Gracht,K9 Mark II
Grendel of Gracht,Romana I
Grey (The Highlanders),Ben Jackson
Grey (The Highlanders),Jamie McCrimmon
Grey (The Highlanders),Polly Wright
Grey (The Highlanders),Second Doctor
Grugger,Fourth Doctor
Grugger,Gaztak
Grugger,K9 Mark II
Grugger,Meglos
Grugger,Romana II
Grun,Aggedor (The Curse of Peladon)
Grun,Alpha Centauri (The Curse of Peladon)
Grun,Amazonia
Grun,Arcturus (The Curse of Peladon)
Grun,Hepesh
Grun,Ice Warrior
Grun,Jo Grant
Grun,Peladon of Peladon
Grun,Third Doctor
Gus (Mummy on the Orient Express),Clara Oswald
Gus (Mummy on the Orient Express),Danny Pink
Gus (Mummy on the Orient Express),Perkins (Mummy on the Orient Express)
Gus (Mummy on the Orient Express),Twelfth Doctor
Gustave Lytton,Black Dalek Leader
Gustave Lytton,Cyber-Controller (The Tomb of the Cybermen)
Gustave Lytton,Dalek
Gustave Lytton,Davros
Gustave Lytton,Fifth Doctor
Gustave Lytton,Peri Brown
Gustave Lytton,Sixth Doctor
Gustave Lytton,Tegan Jovanka
Gustave Lytton,Vislor Turlough
Gwen Cooper,Dalek Caan
Gwen Cooper,Davros
Gwen Cooper,Donna Noble
Gwen Cooper,Francine Jones
Gwen Cooper,Harriet Jones
Gwen Cooper,Ianto Jones
Gwen Cooper,Jack Harkness
Gwen Cooper,Jackie Tyler
Gwen Cooper,K9 Mark IV
Gwen Cooper,Luke Smith
Gwen Cooper,Martha Jones
Gwen Cooper,Mickey Smith
Gwen Cooper,Mr Smith
Gwen Cooper,Rose Tyler
Gwen Cooper,Sarah Jane Smith
Gwen Cooper,Supreme Dalek (The Stolen Earth)
Gwen Cooper,Sylvia Noble
Gwen Cooper,Tenth Doctor
Gwen Cooper,Tenth Doctor (Journey's End)
Gwen Cooper,Wilfred Mott
H. G. Wells,Borad
H. G. Wells,Peri Brown
H. G. Wells,Sixth Doctor
H. G. Wells,Tekker
Hade,Fourth Doctor
Hade,K9 Mark I
Hade,Leela
Hade,The Collector
Haemovore,A. H. Millington
Haemovore,Ace
Haemovore,Fenric
Haemovore,Ingiger
Haemovore,Seventh Doctor
Hakim Khan,Ada Lovelace
Hakim Khan,Daniel Barton
Hakim Khan,Giant spider (Arachnids in the UK)
Hakim Khan,Grace O'Brien
Hakim Khan,Graham O'Brien
Hakim Khan,Jack Robertson
Hakim Khan,Kasaavin
Hakim Khan,Manish
Hakim Khan,Najia Khan
Hakim Khan,Noor Inayat Khan
Hakim Khan,Ryan Sinclair
Hakim Khan,Sonya Khan
Hakim Khan,The Master
Hakim Khan,Thirteenth Doctor
Hakim Khan,Tibo
Hakim Khan,Yasmin Khan
Half-Face Man,Clara Oswald
Half-Face Man,Eleventh Doctor
Half-Face Man,Paternoster Gang
Half-Face Man,The Master
Half-Face Man,Twelfth Doctor
Hame,Face of Boe
Hame,Macra
Hame,Martha Jones
Hame,Tenth Doctor
Handbot,Amy Pond
Handbot,Amy Pond (The Girl Who Waited)
Handbot,Eleventh Doctor
Handbot,Rory Williams
Handles,Amy Pond
Handles,Barnable
Handles,Clara Oswald
Handles,Eleventh Doctor
Handles,Supreme Dalek (Victory of the Daleks)
Handles,Tasha Lem
Handles,Twelfth Doctor
Harriet Jones,Davros
Harriet Jones,Donna Noble
Harriet Jones,Francine Jones
Harriet Jones,Gwen Cooper
Harriet Jones,Ianto Jones
Harriet Jones,Jack Harkness
Harriet Jones,Jackie Tyler
Harriet Jones,Jocrassa Fel-Fotch Passameer-Day Slitheen
Harriet Jones,Luke Smith
Harriet Jones,Martha Jones
Harriet Jones,Mickey Smith
Harriet Jones,Mr Smith
Harriet Jones,Ninth Doctor
Harriet Jones,Rose Tyler
Harriet Jones,Sarah Jane Smith
Harriet Jones,Supreme Dalek (The Stolen Earth)
Harriet Jones,Sycorax leader
Harriet Jones,Sylvia Noble
Harriet Jones,Tenth Doctor
Harriet Jones,Toshiko Sato
Harriet Jones,Wilfred Mott
Harrison Chase,Fourth Doctor
Harrison Chase,Krynoid
Harrison Chase,Sarah Jane Smith
Harry Mailer,Arthur Linwood
Harry Mailer,Carol Bell
Harry Mailer,Charles Kettering
Harry Mailer,George Patrick Barnham
Harry Mailer,Jo Grant
Harry Mailer,John Benton
Harry Mailer,Keller Machine
Harry Mailer,Mike Yates
Harry Mailer,Roland Summers
Harry Mailer,The Brigadier
Harry Mailer,The Master
Harry Mailer,Third Doctor
Harry Sullivan,Alistair Gordon Lethbridge-Stewart
Harry Sullivan,Broton
